buffer_size,model,category,n_runs,aa_mean,aa_std,bwt_mean,bwt_std,fwt_mean,fwt_std,forgetting_mean,forgetting_std
100,er,Replay,5,73.5771,1.0691,-30.6837,1.38,0.0,0.0,30.6837,1.38
100,derpp,Replay,5,77.8045,2.6045,-25.7712,3.3973,0.0,0.0,25.7712,3.3973
100,agem,Optimization,5,23.8559,2.802,-93.7193,3.4967,0.0,0.0,93.7193,3.4967
200,er,Replay,5,81.3764,0.6982,-20.7208,0.8147,0.0,0.0,20.7208,0.8147
200,derpp,Replay,5,82.7861,3.7623,-19.339,4.7781,0.0,0.0,19.339,4.7781
200,agem,Optimization,5,23.7681,1.1666,-93.8415,1.4075,0.0,0.0,93.8415,1.4075
500,er,Replay,5,87.2198,0.6142,-12.721,0.9195,0.0,0.0,12.721,0.9195
500,derpp,Replay,5,87.85,1.8461,-12.7365,2.5167,0.0,0.0,12.7365,2.5167
500,agem,Optimization,5,24.0429,2.0734,-93.498,2.4951,0.0,0.0,93.498,2.4951
1000,er,Replay,5,89.0423,1.2924,-10.0169,1.7812,0.0,0.0,10.0169,1.7812
1000,derpp,Replay,5,88.5405,2.1491,-11.8319,2.8787,0.0,0.0,11.8319,2.8787
1000,agem,Optimization,5,24.0429,2.0734,-93.498,2.4951,0.0,0.0,93.498,2.4951
